直流电机中的感应电动势对电源电压有何反应？,有助于供电电压,是供电电压的两倍,对抗供电电压,是供电电压的一半,C
电气工程中下列哪种类型的电路不能使用欧姆定律进行分析？,单边,双边,线性,导体,A
根据KVL，以下哪项必须为零？,闭环电流代数,闭环功率代数和,闭环损耗代数和,闭环电压代数和,D
在串联电路中，哪些参数在所有电路元件（例如电阻器、电容器和电感器等）中保持恒定？,电压,电流,电压和电流,既不是电压也不是电流,B
如果有两个串联的灯泡，其中一个烧坏了，另一个灯泡会怎样？,另一个灯泡继续以相同的亮度发光,另一个灯泡停止发光,另一个灯泡的亮度增加,另一个灯泡也烧坏,B
串联电阻电路两端的电压与（）成正比？,电路接通的时间,电阻本身的值,电路中其他电阻的值,电路中的功率,B
多个电阻串联会怎样？,在所有电阻之间按比例分配电压,按比例分配电流,按电阻值的比例增加源电压,将功率降低至零,A
串联短路上测得的电压是多少？,无穷大,零,源电压值,零,B
如果电阻加倍，串联电路中的电流会发生什么变化？,变成原来值的一半,变成原来值的两倍,变成零,变成无穷大,A
在阻抗并联网络中，无功元件将使电压（）90 度。 ,超前,滞后,超前或滞后,取决于电路,C
在阻抗并联网络中，无功分量将超前或滞后电压（）度。,0,90,45,180,B
在阻抗并联网络中，无功分量将超前或滞后（）90 度。,电压,电流,电压或电流,无法确定,A
阻抗并联电路的有源元件与网络电压之间的相位差为（）,0,90,180,360,A
正交分量又称为？,有源成分,无功成分,有源或无功成分,既不是有源成分也不是无功成分,B
当电流（）电压时，阻抗并联电路中的无功分量超前电压。,超前,滞后,超前或滞后,无法确定,A
阻抗并联电路中的有源元件将使电压（）。,超前,滞后,与之同相,超前或滞后同相,C
在并联电路中，我们考虑（）而不是阻抗。,电阻,电容,电感,导纳,D
在并联电路中，我们考虑导纳而不是（）,电阻,电容,电感,阻抗,D
下列哪项是阻抗的正确表达方式？,Z=Y,Z=1/Y,Z=Y2,Z=1/Y2,B
下列哪项是表示准入的正确表达方式？,Y=Z,Y=1/Z,Y=Z2,Y=1/Z2,B
准入单位是什么？,欧姆,亨利,法拉,欧姆-1,D
随着阻抗增加，导纳（）,增加,减少,保持不变,变为零,B
如果系统的阻抗为4欧姆，计算其导纳。,0.25 欧姆-1,4 欧姆-1,25 欧姆-1,0.4 欧姆-1,A
系统的导纳为10 ohm-1，计算其阻抗。,10 欧姆,0.1 欧姆,1 欧姆,1.1 欧姆,B
在具有任意数量阻抗的并联电路中，每个阻抗两端的电压是？,相等,均分,按比例划分,零,A
在并联电路中，每个阻抗中的电流（）,相等,不同,零,无穷大,B
灯泡串联好还是并联好？,串联,并联,串联和并联,既不串联也不并联,B
电池通常以（）连接 ,串联,并联,串联或并联,既不串联也不并联,A
在（）电路中，总电阻大于电路中的最大电阻。,串联,并联,串联或并联,既不是串联也不是并联,A
在（）电路中，总电阻小于电路中的最小电阻。,串联,并联,串联或并联,既不是串联也不是并联,B
哪种连接最具成本效益？,串联,并联,串联或并联,既不是串联也不是并联,A
如果 50选项C 的电荷在导体中流动 5 秒，电流值是多少？,5A,10A,15A,20A,B
KCL 涉及（）守恒？,动量,质量,势能,电荷,D
KCL 应用于（）,环路,节点,环路和节点,既不是环路也不是节点,B
KCL 可应用于（）,平面网络,非平面网络,平面和非平面,既不是平面也不是非平面,C
KVL 涉及（）守恒？,质量,动量,电荷,能量,D
分析电路必须遵循的基本规律是什么？,牛顿定律,法拉第定律,安培定律,基尔霍夫定律,D
每个（）都是（），但每个（）不是（）,网格、环、环、网格,环、网格、网格、环,环、网格、环、网格,网格、环、网格、环,A
KVL 应用在（）,网格分析,节点分析,网格和节点两者,既不是网格也不是节点,A
下列哪项不属于功率的表达式？ ,P=VI,P=I2R,P=V2/R,P=I/R,D
以下哪些说法是正确的？,功率仅与电压成正比,功率仅与电流成正比,功率既不与电压也不与电流成正比,功率与电压和电流均成正比,D
250V 灯泡通过的电流为 0.3。计算灯的功率。,75W,50W,25W,90W,A
千瓦时（kWh）的单位是？,电流,功率,能量,电阻,C
5A的电流流过 2 欧姆的电阻。计算 300 秒内电阻器消耗的能量。,15kJ,15000kJ,1500J,15J,A
计算 20 欧姆电阻在 3 小时内承载 5 电流所做的功。,1.5J,15J,1.5kWh,15kWh,C
功率的国际单位是？,kW(千瓦),J/s(焦耳每秒),Ws(瓦秒),J/h(焦耳每小时),B
下列哪一个是电能的单位？,V（伏特）,kWh（千瓦时）,欧姆,（库伦）,B
灯泡功率为200W。5分钟内消耗的能量是多少？,60J,1000J,60kJ,1kJ,C
下列哪一项不是电能？,太阳能电池,电池,电位器,发电机,C
下列哪项是能量的表达方式？,V2It,V2Rt,V2t/R,V2t2/R,C
电池将（）,电能转化为化学能,化学能转化为电能,机械能转化为电能,化学能转化为机械能,B
电阻为 10 欧姆的导线中流过 2 的电流。计算0.5小时内电线消耗的能量。,72Wh,72kJ,7200J,72kJh,B
实际上，如果向设备提供 10kJ 的能量，设备会回馈多少能量？,等于 10kJ,小于 10kJ,大于 10kJ,零,B
容易让电流通过的材料称为（）,绝缘体,导体,电介质,半导体,B
一根长度为2m的导线和另一根长度为5m的导线由相同的材料制成，并且具有相同的横截面积，哪根导线的电阻更大？,两者的电阻相等,2m 导线的电阻较高,5m 导线的电阻较高,无法从给定数据确定电阻值,C
一根横截面积=10平方米的电线和另一根横截面积=15平方米的电线，具有相同的长度和相同的材料。哪根线的电阻更大？,两者具有相等的电阻,10 平方米导线的电阻较高,15 平方米导线的电阻较高,无法从给定数据确定电阻值,B
关于抵抗力，下列哪些说法是正确的？,电阻与导线的长度成正比,电阻与导线的横截面积成正比,电阻与导线的长度成反比,电阻与导线的电阻率成反比金属丝,A
下列哪一个是电阻率的单位？,欧姆/米,欧姆/米2,欧姆-米,欧姆-米2,C
铜的电阻率是多少？ ,1.59*10-8欧姆-米,2.7*10-8欧姆-米,7.3*10-8欧姆-米,5.35*10-8欧姆-米,A
计算横截面积分别为2m 2和5m2的2根相同长度、相同电阻的导线的电阻率之比。 ,5,7,2,7,C
以下关于电阻率的哪些说法是正确的？,电阻取决于温度,电阻不取决于温度,电阻率取决于长度,电阻率取决于横截面积,A
电阻率的倒数为（）,电导,电阻,电导率,阻抗,C
纯金属的电阻（）,随温度升高而升高,随温度升高而降低,随温度升高而保持不变,随着温度升高而变为零,A
绝缘体的电阻（）,随温度升高而增大,随温度升高而降低,随温度升高而保持不变,随着温度升高而变为零,B
以下关于金属的哪些说法是正确的？,金属具有正温度系数,金属具有负温度系数,金属具有零温度系数,金属具有无限温度系数,A
以下关于绝缘体的说法哪些是正确的？,绝缘体具有正温度系数,绝缘体具有负温度系数,绝缘体具有零温度系数,绝缘体具有无限温度系数,B
温度系数的单位是什么？,欧姆/摄氏度,欧姆-摄氏度,摄氏度-1,摄氏度,C
铜线圈在平均温度为 0 摄氏度时的电阻为 200 欧姆。计算线圈平均温度为80℃时的电阻。铜的温度系数为 0.004041 摄氏度-1 ,264.65 欧姆,264.65 千欧,286.65 欧姆,286.65 千欧,A
下列哪种方法不能测量线圈的温度？,温度计,线圈电阻增加,嵌入线圈中的热电偶,热量计,D
电阻随温度升高而上升或下降取决于（）,导体材料的特性,金属中的电流,材料的特性以及该材料中的电流,不依赖于任何因素,A
如果半导体的温度升高，导致电阻不断下降，则称为（）,雪崩击穿,齐纳击穿,热击穿,雪崩击穿,C
电阻几乎为零的材料是（）,半导体,导体,超导体,绝缘体,C
节点分析通常用于确定（）,电压,电流,电阻,功率,A
网格分析通常用于确定（）,电压,电流,电阻,功率,B
KVL 与（）相关？,网格分析,节点分析,网格和节点,既不是网格也不是节点,A
KCL 与（）相关？,网格分析,节点分析,网格和节点,既不是网格也不是节点,B
网格分析采用（）的方法？,KVL,KCL,KVL 和 KCL,既不是 KVL 也不是 KCL,A
网格分析通常用于确定（）,电压,电流,电阻,功率,B
网格分析可用于（）,平面电路,非平面电路,平面和非平面电路,既不是平面电路也不是非平面电路,A
节点分析通常用于确定（）,电压,电流,电阻,功率,A
如果电路中有 10 个节点，我们会得到多少个方程？   ,10,9,8,7,B
节点分析可应用于（）,平面网络,非平面网络,平面和非平面网络,既不是平面网络也不是非平面网络,C
节点分析时取多少个节点作为参考节点？ ,1,2,3,4,A
在叠加定理中，当我们考虑一个电压源的影响时，所有其他电压源都（）,短路,开路,移除,不受干扰,A
在叠加定理中，当我们考虑一个电流源的影响时，所有其他电压源都是（）,短路,开路,移除,不受干扰,A
在叠加定理中，当我们考虑一个电压源的影响时，所有其他电流源都（）,短路,开路,移除,不受干扰,B
在叠加定理中，当我们考虑一个电流源的影响时，所有其他电流源都（）,短路,开路,移除,不受干扰,B
叠加定理对（）有效？,线性系统,非线性系统,线性和非线性系统,既不是线性系统也不是非线性系统,A
叠加定理不适用于（）,电流,电压,功率,适用于所有情况：电流、电压和功率,C
戴维南电压是（）,开路电压,短路电压,开路和短路电压,既不是开路电压也不是短路电压,A
戴维南电阻由（）发现？,短路所有电压源,开路所有电流源,短路所有电压源并开路所有电流源,开路所有电压源并短路所有电流源,C
戴维南定理对于（）成立？,线性网络,非线性网络,线性网络和非线性网络,既不是线性网络也不是非线性网络,A
在 戴维南定理中，Vth 为（）,两个电压源之和,单个电压源,无限电压源,0,B
Vth 可以通过网络的（） 终端找到。,输入,输出,既不是输入也不是输出,要么输入要么输出,B
以下哪项也称为戴维南定理的对偶？,诺顿定理,叠加定理,最大功率传递定理,米尔曼定理,A
我们可以在包含BJT的电路上使用戴维南定理吗？,是,否,取决于BJT,提供的数据不足,B
诺顿电流是（）？,短路电流,开路电流,开路和短路电流,既不是开路电流，也不是短路电流,A
诺顿电阻是通过什么发现的？,短路所有电压源,断开所有电流源,短路所有电压源并断开所有电流源,断开所有电压源并短路所有电流源,C
诺顿定理对于（）成立？,线性网络,非线性网络,线性网络和非线性网络,既不是线性网络也不是非线性网络,A
在诺顿定理中，Isc为（）,两个电流源之和,单个电流源,无限电流源,0,B
Isc可以在网络的（）终端上找到。,输入,输出,既不是输入也不是输出,要么输入要么输出,B
我们可以在包含BJT 的电路上使用诺顿定理吗？,是,否,取决于BJT,提供的数据不足,B
